data;temp_amb;ghi;temp_contacto;pot
15/7/2019 18:00;20.53;169.7;24.37;0
15/7/2019 18:05;21.15;135.64;26.11;0
15/7/2019 18:10;20.89;124.53;26.21;0
15/7/2019 18:15;20.67;109.89;25.3;0
15/7/2019 18:20;20.61;97.08;24.61;0
15/7/2019 18:25;20.5;46.18;23.57;0
15/7/2019 18:30;20.23;64.16;21.7;0
15/7/2019 18:35;20.06;25.52;20.54;0
15/7/2019 18:40;19.92;22.32;19.44;0
15/7/2019 18:45;19.79;10.96;18.83;0
15/7/2019 18:50;19.6;6.36;18.4;0
15/7/2019 18:55;19.38;5.38;18.13;0
15/7/2019 19:00;19.3;3.05;17.83;0
15/7/2019 19:05;19.01;0.98;17.37;0
15/7/2019 19:10;18.85;-0.37;16.91;0
15/7/2019 19:15;18.68;-1.61;16.55;0
15/7/2019 19:20;18.47;-2.57;16.22;0
15/7/2019 19:25;18.38;-2.89;15.96;0
15/7/2019 19:30;18.37;-3.17;15.69;0
15/7/2019 19:35;18.09;-3.31;15.34;0
15/7/2019 19:40;18.04;-3.53;15.06;0
15/7/2019 19:45;17.83;-3.09;15.03;0
15/7/2019 19:50;17.76;-3.88;14.63;0
15/7/2019 19:55;17.54;-3.97;14.23;0
15/7/2019 20:00;17.46;-3.88;14.07;0
15/7/2019 20:05;17.45;-3.86;13.88;0
15/7/2019 20:10;17.27;-3.97;13.68;0
15/7/2019 20:15;17.13;-4.02;13.37;0
15/7/2019 20:20;16.83;-3.7;13.34;0
15/7/2019 20:25;16.83;-3.59;13.27;0
15/7/2019 20:30;16.82;-3.78;13.06;0
15/7/2019 20:35;16.8;-3.31;13.22;0
15/7/2019 20:40;16.81;-3.49;13.19;0
15/7/2019 20:45;16.58;-3.5;13.08;0
15/7/2019 20:50;16.52;-3.49;13.04;0
15/7/2019 20:55;16.72;-3.02;13.42;0
15/7/2019 21:00;16.73;-3.12;13.71;0
15/7/2019 21:05;16.83;-3.01;13.85;0
15/7/2019 21:10;16.81;-3.11;13.87;0
15/7/2019 21:15;16.65;-3.15;13.76;0
15/7/2019 21:20;16.53;-3.27;13.62;0
15/7/2019 21:25;16.52;-3.46;13.41;0
15/7/2019 21:30;16.58;-3.32;13.66;0
15/7/2019 21:35;16.65;-3.48;13.77;0
15/7/2019 21:40;16.52;-3.75;13.5;0
15/7/2019 21:45;16.52;-3.66;13.55;0
15/7/2019 21:50;16.5;-3.57;13.45;0
15/7/2019 21:55;16.21;-3.67;13.27;0
15/7/2019 22:00;16.19;-3.52;13.26;0
15/7/2019 22:05;15.92;-3.38;13.3;0
15/7/2019 22:10;15.9;-3.38;13.19;0
15/7/2019 22:15;15.9;-3.55;13.01;0
15/7/2019 22:20;15.7;-3.71;12.65;0
15/7/2019 22:25;15.59;-3.57;12.59;0
15/7/2019 22:30;15.59;-3.43;12.56;0
15/7/2019 22:35;15.58;-3.6;12.3;0
15/7/2019 22:40;15.29;-3.62;12.18;0
15/7/2019 22:45;15.28;-3.64;12.15;0
15/7/2019 22:50;15.28;-3.54;12.1;0
15/7/2019 22:55;15.18;-3.61;12;0
15/7/2019 23:00;15.04;-3.59;11.99;0
15/7/2019 23:05;14.97;-3.73;11.75;0
15/7/2019 23:10;14.87;-3.95;11.35;0
15/7/2019 23:15;14.67;-3.93;11.12;0
15/7/2019 23:20;14.65;-3.77;11.08;0
15/7/2019 23:25;14.39;-3.8;10.91;0
15/7/2019 23:30;14.35;-4.07;10.59;0
15/7/2019 23:35;14.08;-4.14;10.23;0
15/7/2019 23:40;14.04;-3.81;10.19;0
15/7/2019 23:45;14.04;-3.62;10.28;0
15/7/2019 23:50;14.04;-3.52;10.43;0
15/7/2019 23:55;14.04;-3.6;10.28;0
16/7/2019 0:00;13.8;-4;9.86;0
16/7/2019 0:05;13.73;-4.15;9.41;0
16/7/2019 0:10;13.43;-4.56;9.01;0
16/7/2019 0:15;13.24;-4.57;8.69;0
16/7/2019 0:20;13.12;-4.34;8.44;0
16/7/2019 0:25;12.98;-4.48;8.37;0
16/7/2019 0:30;12.81;-4.27;8.19;0
16/7/2019 0:35;12.62;-4.1;7.93;0
16/7/2019 0:40;12.5;-4.06;7.89;0
16/7/2019 0:45;12.33;-4.21;7.69;0
16/7/2019 0:50;12.19;-4.2;7.48;0
16/7/2019 0:55;12.04;-3.97;7.5;0
16/7/2019 1:00;12.19;-3.54;7.74;0
16/7/2019 1:05;12.19;-3.86;7.68;0
16/7/2019 1:10;12.17;-3.3;7.75;0
16/7/2019 1:15;12.06;-3.56;7.71;0
16/7/2019 1:20;11.88;-3.69;7.75;0
16/7/2019 1:25;11.88;-3.82;7.6;0
16/7/2019 1:30;11.78;-3.76;7.44;0
16/7/2019 1:35;11.57;-3.92;7.3;0
16/7/2019 1:40;11.57;-3.86;7.2;0
16/7/2019 1:45;11.41;-3.98;7.15;0
16/7/2019 1:50;11.26;-3.98;7.09;0
16/7/2019 1:55;11.26;-3.89;6.97;0
16/7/2019 2:00;11.26;-3.79;6.97;0
16/7/2019 2:05;11.25;-3.92;6.91;0
16/7/2019 2:10;11.1;-3.64;6.77;0
16/7/2019 2:15;11.21;-3.4;6.64;0
16/7/2019 2:20;11.24;-3.54;6.66;0
16/7/2019 2:25;10.96;-3.8;6.57;0
16/7/2019 2:30;10.95;-3.64;6.43;0
16/7/2019 2:35;10.95;-3.68;6.62;0
16/7/2019 2:40;10.95;-3.52;6.51;0
16/7/2019 2:45;10.95;-3.4;6.73;0
16/7/2019 2:50;11.24;-3.22;6.91;0
16/7/2019 2:55;11.45;-2.98;7.47;0
16/7/2019 3:00;11.3;-3.51;7.41;0
16/7/2019 3:05;11.26;-3.77;7.17;0
16/7/2019 3:10;11.24;-3.81;7.1;0
16/7/2019 3:15;11.26;-3.5;7.1;0
16/7/2019 3:20;10.99;-4.17;6.81;0
16/7/2019 3:25;10.95;-4.09;6.4;0
16/7/2019 3:30;10.68;-4.01;6.13;0
16/7/2019 3:35;10.64;-4.23;5.94;0
16/7/2019 3:40;10.48;-3.83;5.67;0
16/7/2019 3:45;10.34;-3.9;5.61;0
16/7/2019 3:50;10.33;-3.58;5.49;0
16/7/2019 3:55;10.33;-3.7;5.5;0
16/7/2019 4:00;10.13;-3.75;5.41;0
16/7/2019 4:05;10.03;-3.71;5.45;0
16/7/2019 4:10;10.02;-3.68;5.38;0
16/7/2019 4:15;10.02;-3.73;5.33;0
16/7/2019 4:20;10.02;-3.47;5.3;0
16/7/2019 4:25;10.02;-3.71;5.29;0
16/7/2019 4:30;10.02;-3.58;5.27;0
16/7/2019 4:35;10.02;-3.42;5.3;0
16/7/2019 4:40;10.02;-3.56;5.38;0
16/7/2019 4:45;10.02;-3.73;5.2;0
16/7/2019 4:50;9.81;-3.93;5.27;0
16/7/2019 4:55;9.71;-3.9;5.12;0
16/7/2019 5:00;9.71;-3.7;5.11;0
16/7/2019 5:05;9.7;-3.87;4.97;0
16/7/2019 5:10;9.56;-3.77;4.9;0
16/7/2019 5:15;9.4;-3.82;4.79;0
16/7/2019 5:20;9.42;-3.52;4.8;0
16/7/2019 5:25;9.4;-3.79;4.65;0
16/7/2019 5:30;9.4;-3.58;4.63;0
16/7/2019 5:35;9.4;-3.44;4.57;0
16/7/2019 5:40;9.41;-3.56;4.58;0
16/7/2019 5:45;9.4;-3.62;4.65;0
16/7/2019 5:50;9.4;-3.47;4.64;0
16/7/2019 5:55;9.4;-3.45;4.7;0
16/7/2019 6:00;9.4;-3.6;4.53;0
16/7/2019 6:05;9.34;-3.55;4.41;0
16/7/2019 6:10;9.29;-3.48;4.38;0
16/7/2019 6:15;9.13;-3.42;4.28;0
16/7/2019 6:20;9.09;-3.48;4.19;0
16/7/2019 6:25;9.09;-3.45;4.2;0
16/7/2019 6:30;9.09;-3.34;4.24;0
16/7/2019 6:35;9.09;-3.11;4.28;0
16/7/2019 6:40;9.18;-3.39;4.4;0
16/7/2019 6:45;9.12;-3.46;4.35;0
16/7/2019 6:50;9.4;-3.27;4.28;0
16/7/2019 6:55;9.4;-3.41;4.39;0
16/7/2019 7:00;9.4;-3.31;4.35;0
16/7/2019 7:05;9.18;-3.6;4.27;0
16/7/2019 7:10;9.16;-3.77;4.25;0
16/7/2019 7:15;9.1;-3.48;4.26;0
16/7/2019 7:20;9.09;-3.73;4.14;0
16/7/2019 7:25;9.05;-3.62;4.07;0
16/7/2019 7:30;8.79;-3.74;3.93;0
16/7/2019 7:35;8.78;-3.63;3.85;0
16/7/2019 7:40;8.65;-3.65;3.81;0
16/7/2019 7:45;8.48;-3.78;3.69;0
16/7/2019 7:50;8.65;-3.56;3.71;0
16/7/2019 7:55;8.53;-3.68;3.66;0
16/7/2019 8:00;8.57;-3.55;3.66;0
16/7/2019 8:05;8.52;-2.96;3.65;0
16/7/2019 8:10;8.48;-2.33;3.65;0
16/7/2019 8:15;8.57;-1.53;3.84;0
16/7/2019 8:20;8.53;0.35;3.88;0
16/7/2019 8:25;8.55;2.16;3.89;0
16/7/2019 8:30;8.48;5.56;3.84;0
16/7/2019 8:35;8.61;8.86;3.91;0
16/7/2019 8:40;8.78;14.04;4.14;0
16/7/2019 8:45;8.78;18.49;4.34;0
16/7/2019 8:50;8.78;20.1;4.53;0
16/7/2019 8:55;8.81;28.35;4.75;0
16/7/2019 9:00;9.19;31.03;5.12;0
16/7/2019 9:05;9.4;59.59;5.55;0
16/7/2019 9:10;9.43;63.85;7.08;0
16/7/2019 9:15;9.74;54.7;9.46;0
16/7/2019 9:20;10.02;52.92;11.33;0
16/7/2019 9:25;10.16;62.54;12.66;0
16/7/2019 9:30;10.32;58.36;12.74;0
16/7/2019 9:35;10.36;61.79;13.57;0
16/7/2019 9:40;10.64;83.14;14.71;0
16/7/2019 9:45;10.64;169.4;15.61;0
16/7/2019 9:50;10.94;137.48;16.8;0
16/7/2019 9:55;11.1;152.96;18.04;0
16/7/2019 10:00;11.25;109.89;19.37;0
16/7/2019 10:05;11.51;90.69;20.54;0
16/7/2019 10:10;11.72;99.17;22.4;0
16/7/2019 10:15;12.22;187.98;23.45;0
16/7/2019 10:20;12.4;118.17;23.11;0
16/7/2019 10:25;12.44;99.73;22.89;0
16/7/2019 10:30;12.8;149.69;23.44;0
16/7/2019 10:35;13.11;122.33;24.61;0
16/7/2019 10:40;13.12;177.99;24.42;0
16/7/2019 10:45;13.26;207.97;22.94;0
16/7/2019 10:50;13.27;244.82;23.85;0
16/7/2019 10:55;13.42;311.04;24.36;0
16/7/2019 11:00;13.51;387.57;25.32;0
16/7/2019 11:05;13.73;286.07;28.23;0
16/7/2019 11:10;14.04;415.79;29.64;0
16/7/2019 11:15;14.34;402.8;31.39;0
16/7/2019 11:20;14.35;475.84;31.52;0
16/7/2019 11:25;14.87;532.08;34.39;0
16/7/2019 11:30;14.95;475.47;35.73;0
16/7/2019 11:35;15.27;517.68;34.75;0
16/7/2019 11:40;15.6;559.85;37;0
16/7/2019 11:45;15.63;583.7;37.3;0
16/7/2019 11:50;15.75;597.99;38.86;0
16/7/2019 11:55;15.72;608.43;38.87;0
16/7/2019 12:00;15.66;596.42;38.55;0
16/7/2019 12:05;16.2;633.66;39.09;0
16/7/2019 12:10;16.25;577.27;39.94;0
16/7/2019 12:15;17.15;596.49;40.77;0
16/7/2019 12:20;17.45;597.46;41.68;0
16/7/2019 12:25;17.14;637.06;40.3;0
